Unit Serial No : 440-OU0P3696-EU
Integration Time : 3000 ms
Time Average: 1
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 08/23/2018   09:36:35

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
251.4252      	39773.2531    	373.00000     
252.4252      	39615.6886    	279.00000     
253.4252      	39459.3676    	375.00000     
254.4252      	39304.2755    	319.00000     
255.4252      	39150.3977    	377.00000     
256.4252      	38997.7224    	318.00000     
257.4252      	38846.2309    	349.00000     
258.4252      	38695.9119    	350.00000     
259.4252      	38546.7517    	360.00000     
260.4252      	38398.7370    	371.00000     
261.4252      	38251.8548    	362.00000     
262.4252      	38106.0919    	388.00000     
263.4252      	37961.4357    	576.00000     
264.4252      	37817.8736    	839.00000     
265.4252      	37675.3933    	2254.00000    
266.4252      	37533.9825    	29326.00000   
267.4252      	37393.6293    	21933.00000   
268.4252      	37254.3219    	1200.00000    
269.4252      	37116.0486    	414.00000     
270.4252      	36978.7979    	354.00000     
271.4252      	36842.5586    	318.00000     
272.4252      	36707.3194    	356.00000     
273.4252      	36573.0695    	424.00000     
274.4252      	36439.7979    	357.00000     
275.4252      	36307.4942    	380.00000     
276.4252      	36176.1476    	377.00000     
277.4252      	36045.7480    	308.00000     
278.4252      	35916.2851    	374.00000     
279.4252      	35787.7488    	305.00000     
280.4252      	35660.1292    	327.00000     
281.4252      	35533.4166    	369.00000     
282.4252      	35407.6013    	336.00000     
283.4252      	35282.6738    	318.00000     
284.4252      	35158.6248    	348.00000     
285.4252      	35035.4449    	349.00000     
286.4252      	34913.1253    	345.00000     
287.4252      	34791.6567    	381.00000     
288.4252      	34671.0305    	373.00000     
